voter_name,affiliation,award,name,value,points,avgPoints,diff,diffSquared,ballot
Michael Pina,The Ringer,COY,x2nd_Place_3_points,"Mark Daigneault, Oklahoma City",3,4.777777778,-1.777777778,3.160493827,COY
Michael Pina,The Ringer,COY,x3rd_Place_1_points,"Jamahl Mosley, Orlando",1,1.595959596,-0.595959596,0.35516784,COY
Julia Poe,Chicago Tribune,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Julia Poe,Chicago Tribune,COY,x2nd_Place_3_points,"Joe Mazzulla, Boston",3,0.797979798,2.202020202,4.84889297,COY
Julia Poe,Chicago Tribune,COY,x3rd_Place_1_points,"Jamahl Mosley, Orlando",1,1.595959596,-0.595959596,0.35516784,COY
Keith Pompey,Philadelphia Inquirer,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Keith Pompey,Philadelphia Inquirer,COY,x2nd_Place_3_points,"Jamahl Mosley, Orlando",3,1.595959596,1.404040404,1.971329456,COY
Keith Pompey,Philadelphia Inquirer,COY,x3rd_Place_1_points,"Tom Thibodeau, New York",1,0.595959596,0.404040404,0.163248648,COY
Shaun Powell,NBA.com,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Shaun Powell,NBA.com,COY,x2nd_Place_3_points,"Chris Finch, Minnesota",3,1.060606061,1.939393939,3.761248852,COY
Shaun Powell,NBA.com,COY,x3rd_Place_1_points,"Jamahl Mosley, Orlando",1,1.595959596,-0.595959596,0.35516784,COY
Khobi Price,Southern California News Group,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Khobi Price,Southern California News Group,COY,x2nd_Place_3_points,"Jamahl Mosley, Orlando",3,1.595959596,1.404040404,1.971329456,COY
Khobi Price,Southern California News Group,COY,x3rd_Place_1_points,"Joe Mazzulla, Boston",1,0.797979798,0.202020202,0.040812162,COY
Jason Quick,The Athletic,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
Jason Quick,The Athletic,COY,x2nd_Place_3_points,"Jamahl Mosley, Orlando",3,1.595959596,1.404040404,1.971329456,COY
Jason Quick,The Athletic,COY,x3rd_Place_1_points,"Ime Udoka, Houston",1,0.060606061,0.939393939,0.882460973,COY
Duane Rankin,Arizona Republic,COY,x1st_Place_5_points,"Mark Daigneault, Oklahoma City",5,4.777777778,0.222222222,0.049382716,COY
